Type,Time_Steps,Total_Rewards,Reward_Rate
Test - Datasize: 5000,0,20.0,0.004
Test - Datasize: 5000,0,400.0,0.08
Train - Datasize: 10000 ,10000,770.0,0.077
Test - Datasize: 5000,10000,500.0,0.1
Train - Datasize: 10000 ,20000,480.0,0.048
Test - Datasize: 5000,20000,130.0,0.026
Train - Datasize: 10000 ,30000,110.0,0.011
Test - Datasize: 5000,30000,220.0,0.044
Train - Datasize: 10000 ,40000,750.0,0.075
Test - Datasize: 5000,40000,440.0,0.088
Train - Datasize: 10000 ,50000,1140.0,0.114
Test - Datasize: 5000,50000,600.0,0.12
Train - Datasize: 10000 ,60000,1030.0,0.103
Test - Datasize: 5000,60000,550.0,0.11
Train - Datasize: 10000 ,70000,1010.0,0.101
Test - Datasize: 5000,70000,530.0,0.106
Train - Datasize: 10000 ,80000,1060.0,0.106
Test - Datasize: 5000,80000,620.0,0.124
Train - Datasize: 10000 ,90000,1030.0,0.103
Test - Datasize: 5000,90000,570.0,0.114
Train - Datasize: 10000 ,100000,1070.0,0.107
Test - Datasize: 5000,100000,520.0,0.104
Train - Datasize: 10000 ,110000,1020.0,0.102
Test - Datasize: 5000,110000,540.0,0.108
Train - Datasize: 10000 ,120000,1100.0,0.11
Test - Datasize: 5000,120000,530.0,0.106
Train - Datasize: 10000 ,130000,990.0,0.099
Test - Datasize: 5000,130000,520.0,0.104
Train - Datasize: 10000 ,140000,1160.0,0.116
Test - Datasize: 5000,140000,570.0,0.114
Train - Datasize: 10000 ,150000,1140.0,0.114
Test - Datasize: 5000,150000,490.0,0.098
Train - Datasize: 10000 ,160000,1040.0,0.104
Test - Datasize: 5000,160000,560.0,0.112
Train - Datasize: 10000 ,170000,990.0,0.099
Test - Datasize: 5000,170000,500.0,0.1
Train - Datasize: 10000 ,180000,930.0,0.093
Test - Datasize: 5000,180000,510.0,0.102
Train - Datasize: 10000 ,190000,870.0,0.087
Test - Datasize: 5000,190000,370.0,0.074
Train - Datasize: 10000 ,200000,840.0,0.084
Test - Datasize: 5000,200000,340.0,0.068
Train - Datasize: 10000 ,210000,820.0,0.082
Test - Datasize: 5000,210000,360.0,0.072
Train - Datasize: 10000 ,220000,580.0,0.058
Test - Datasize: 5000,220000,260.0,0.052
Train - Datasize: 10000 ,230000,650.0,0.065
Test - Datasize: 5000,230000,260.0,0.052
Train - Datasize: 10000 ,240000,630.0,0.063
Test - Datasize: 5000,240000,500.0,0.1
Train - Datasize: 10000 ,250000,910.0,0.091
Test - Datasize: 5000,250000,450.0,0.09
Train - Datasize: 10000 ,260000,1050.0,0.105
Test - Datasize: 5000,260000,460.0,0.092
Train - Datasize: 10000 ,270000,1000.0,0.1
Test - Datasize: 5000,270000,390.0,0.078
Train - Datasize: 10000 ,280000,570.0,0.057
Test - Datasize: 5000,280000,270.0,0.054
Train - Datasize: 10000 ,290000,690.0,0.069
Test - Datasize: 5000,290000,260.0,0.052
Train - Datasize: 10000 ,300000,400.0,0.04
Test - Datasize: 5000,300000,220.0,0.044
Train - Datasize: 10000 ,310000,390.0,0.039
Test - Datasize: 5000,310000,250.0,0.05
Train - Datasize: 10000 ,320000,550.0,0.055
