Type,Time_Steps,Total_Rewards,Reward_Rate,Critic_Loss,Actor_Loss,Total_Loss
Test,0,10,0.001953125,,,
Train,5120,10,0.001953125,0.70277643,0.23556775,0.9383442
Test,5120,10,0.001953125,,,
Train,10240,0,0,0.25388655,0.051368244,0.3052548
Test,10240,20,0.00390625,,,
Train,15360,10,0.001953125,0.42705852,-0.06748399,0.35957453
Test,15360,0,0,,,
Train,20480,10,0.001953125,0.5523692,-0.23490989,0.3174593
Test,20480,10,0.001953125,,,
Train,25600,0,0,0.36769876,-0.19873211,0.16896665
Test,25600,10,0.001953125,,,
Train,30720,10,0.001953125,0.37214208,0.002015159,0.37415725
Test,30720,0,0,,,
Train,35840,10,0.001953125,0.40353543,0.21814254,0.621678
Test,35840,0,0,,,
Train,40960,30,0.005859375,0.7638101,0.48602962,1.2498398
Test,40960,20,0.00390625,,,
Train,46080,30,0.005859375,0.70880574,0.3536139,1.0624197
Test,46080,20,0.00390625,,,
Train,51200,30,0.005859375,0.5364977,0.06281387,0.5993116
Test,51200,10,0.001953125,,,
Train,56320,10,0.001953125,0.31008136,-0.03356354,0.2765178
Test,56320,0,0,,,
Train,61440,30,0.005859375,0.46916714,-0.25329798,0.21586916
Test,61440,30,0.005859375,,,
Train,66560,10,0.001953125,0.3857816,-0.28023127,0.10555032
Test,66560,40,0.0078125,,,
Train,71680,20,0.00390625,0.33658051,-0.17105708,0.16552344
Test,71680,80,0.015625,,,
Train,76800,20,0.00390625,0.3489717,0.052828293,0.40179998
Test,76800,50,0.009765625,,,
Train,81920,40,0.0078125,0.7321913,0.3957303,1.1279216
Test,81920,100,0.01953125,,,
Train,87040,70,0.013671875,1.1878685,0.5873341,1.7752025
Test,87040,80,0.015625,,,
Train,92160,30,0.005859375,0.711708,0.2774868,0.9891948
Test,92160,70,0.013671875,,,
Train,97280,60,0.01171875,0.9745402,0.24585322,1.2203934
Test,97280,140,0.02734375,,,
Train,102400,110,0.021484375,1.814996,0.25140026,2.0663962
Test,102400,120,0.0234375,,,
Train,107520,100,0.01953125,1.583422,0.15027466,1.7336966
Test,107520,130,0.025390625,,,
Train,112640,130,0.025390625,1.7928886,-0.25014606,1.5427426
Test,112640,110,0.021484375,,,
Train,117760,80,0.015625,1.1977185,-0.040743552,1.1569749
Test,117760,170,0.033203125,,,
Train,122880,150,0.029296875,1.5794207,0.39595217,1.9753728
Test,122880,150,0.029296875,,,
Train,128000,210,0.041015625,2.699692,0.8644424,3.5641344
Test,128000,150,0.029296875,,,
Train,133120,160,0.03125,2.382857,0.8580208,3.2408779
Test,133120,190,0.037109375,,,
Train,138240,150,0.029296875,1.8920361,0.35265973,2.244696
Test,138240,140,0.02734375,,,
Train,143360,140,0.02734375,1.463395,-0.25806588,1.2053292
Test,143360,200,0.0390625,,,
Train,148480,150,0.029296875,1.1112095,-0.41153,0.6996795
Test,148480,160,0.03125,,,
Train,153600,200,0.0390625,1.7188944,0.03316495,1.7520593
Test,153600,220,0.04296875,,,
Train,158720,120,0.0234375,1.5030197,0.25391462,1.7569343
Test,158720,150,0.029296875,,,
Train,163840,180,0.03515625,2.1214283,0.6470177,2.768446
Test,163840,160,0.03125,,,
Train,168960,140,0.02734375,1.6157429,0.39311484,2.0088577
Test,168960,140,0.02734375,,,
Train,174080,110,0.021484375,0.8170132,0.111906365,0.92891955
Test,174080,160,0.03125,,,
Train,179200,140,0.02734375,1.8141788,0.36704123,2.18122
Test,179200,110,0.021484375,,,
Train,184320,130,0.025390625,1.6040086,0.16239548,1.766404
Test,184320,170,0.033203125,,,
Train,189440,170,0.033203125,1.5803815,-0.06527662,1.5151049
Test,189440,210,0.041015625,,,
Train,194560,160,0.03125,1.2115306,-0.09267915,1.1188514
Test,194560,140,0.02734375,,,
Train,199680,170,0.033203125,2.2402725,0.5438634,2.7841358
Test,199680,180,0.03515625,,,
Train,204800,170,0.033203125,1.5910364,0.083212264,1.6742487
Test,204800,140,0.02734375,,,
Train,209920,160,0.03125,1.7279758,0.25861886,1.9865947
Test,209920,150,0.029296875,,,
Train,215040,130,0.025390625,1.4971846,0.24690859,1.7440932
Test,215040,230,0.044921875,,,
Train,220160,190,0.037109375,1.4196695,0.2525302,1.6721997
Test,220160,160,0.03125,,,
Train,225280,170,0.033203125,1.7645091,0.3634429,2.127952
Test,225280,160,0.03125,,,
Train,230400,120,0.0234375,1.2688414,0.16943674,1.4382781
Test,230400,190,0.037109375,,,
Train,235520,200,0.0390625,1.9896411,0.39563388,2.385275
