Type,Time_Steps,Batch_Reward,Reward_Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,256,3.2978780269622803,0.012882336042821407,0.05682767,0.6055137,2.7302594,0.01288234,2.717377
Train,512,3.2292747497558594,0.012614354491233826,0.054275304,0.5909605,2.7236018,0.012614358,2.710987
Train,768,3.291736602783203,0.012858346104621887,0.056649935,0.6045632,2.7302303,0.012858346,2.7173722
Train,1024,3.227407693862915,0.012607061304152012,0.00074756413,0.009622777,2.7234168,0.012607062,2.71081
Train,1280,3.159421682357788,0.01234149094671011,0.02592969,0.28499642,2.7253942,0.012341491,2.7130527
Train,1536,3.1138949394226074,0.01216365210711956,0.050145015,0.5681326,2.7213585,0.012163651,2.709195
Train,1792,3.0913829803466797,0.012075714766979218,0.049508322,0.5642873,2.714525,0.012075713,2.7024493
Train,2048,3.040536642074585,0.011877096258103848,0.047996625,0.55447894,2.7215178,0.011877092,2.7096407
Train,2304,2.921060800552368,0.011410393752157688,0.018555267,0.15582804,2.730012,0.011410393,2.7186015
Train,2560,2.8161160945892334,0.011000453494489193,0.04120571,0.51164025,2.7261386,0.011000454,2.7151382
Train,2816,2.8721516132354736,0.011219342239201069,0.04248601,0.5211002,2.7285228,0.01121934,2.7173033
Train,3072,2.868955373764038,0.011206856928765774,0.042628236,0.5202727,2.7319443,0.011206854,2.7207375
Train,3328,2.6934454441070557,0.010521271266043186,0.02727111,0.31598544,2.7269578,0.010521272,2.7164366
Train,3584,2.5492923259735107,0.009958173148334026,0.033573415,0.46052387,2.732615,0.009958176,2.7226567
Train,3840,2.587712049484253,0.010108250193297863,0.02466005,0.31066787,2.7194066,0.0101082465,2.7092984
Train,4096,2.6373629570007324,0.010302199050784111,0.03577751,0.4751694,2.7265623,0.010302202,2.71626
Train,4352,2.5002801418304443,0.009766719304025173,0.031985052,0.44831827,2.7245271,0.009766719,2.7147605
Train,4608,2.2965588569641113,0.00897093303501606,0.027209736,0.4107582,2.7200994,0.008970933,2.7111285
Train,4864,2.2826318740844727,0.008916530758142471,0.026638102,0.40708727,2.7244387,0.008916533,2.715522
Train,5120,2.273939847946167,0.008882577531039715,0.013260202,0.08147581,2.7178226,0.008882577,2.70894
Train,5376,2.1786348819732666,0.008510292507708073,0.020233462,0.29625937,2.7252681,0.008510297,2.7167578
Train,5632,2.2800421714782715,0.008906414732336998,0.02649521,0.4056752,2.7158556,0.008906415,2.7069492
Train,5888,2.2390291690826416,0.008746207691729069,0.014890297,0.12244272,2.7260728,0.00874621,2.7173266
Train,6144,2.1692371368408203,0.008473582565784454,0.024052791,0.38445306,2.7117639,0.008473584,2.7032902
Train,6400,2.0950751304626465,0.008183887228369713,0.022706266,0.37305003,2.7186198,0.008183888,2.7104359
Train,6656,2.011781930923462,0.007858523167669773,0.020609282,0.35421488,2.7261066,0.007858522,2.7182481
Train,6912,1.9418649673461914,0.00758541002869606,0.008387249,0.047555875,2.713191,0.007585412,2.7056055
Train,7168,1.9554834365844727,0.007638607174158096,0.0037352329,-0.09793344,2.7154198,0.0076386053,2.7077813
Train,7424,2.0530142784118652,0.008019587025046349,0.021636682,0.36449143,2.7238579,0.008019585,2.715838
Train,7680,2.0595011711120605,0.008044926449656487,0.022073131,0.36691543,2.7306075,0.008044929,2.7225628
Train,7936,1.9435811042785645,0.007592113688588142,0.019808598,0.34478724,2.720415,0.007592112,2.712823
Train,8192,1.8539916276931763,0.00724215479567647,0.0010756666,-0.09934455,2.7146108,0.007242156,2.7073684
Train,8448,1.7760998010635376,0.006937889847904444,0.016248211,0.31101012,2.725942,0.0069378903,2.7190042
Train,8704,1.7281535863876343,0.006750599946826696,0.015363554,0.30192053,2.712039,0.0067506013,2.7052884
Train,8960,1.7076396942138672,0.006670467555522919,0.015004109,0.29833063,2.7213678,0.0066704657,2.7146974
Train,9216,1.6959028244018555,0.006624620407819748,0.0148027325,0.29594406,2.7199793,0.006624622,2.7133546
Train,9472,1.6597715616226196,0.006483482662588358,0.00095919275,-0.047877327,2.7088819,0.0064834817,2.7023988
Train,9728,1.650660753250122,0.006447893567383289,0.014117994,0.2890877,2.7172563,0.006447895,2.7108085
Train,9984,1.6943559646606445,0.006618577986955643,0.01475657,0.29485682,2.7247663,0.006618578,2.7181478
