Type,Time_Steps,Batch_Reward,Reward_Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,256,22.96089744567871,0.08969100564718246,2.749455,4.3834696,2.8052707,0.08969101,2.7155795
Train,512,19.60015106201172,0.07656309008598328,0.70214856,1.3443156,2.791735,0.076563075,2.715172
Train,768,17.52823829650879,0.06846968084573746,1.6024002,3.3341322,2.7833488,0.06846972,2.714879
Train,1024,14.532037734985352,0.05676577240228653,1.0580014,2.6414475,2.7669783,0.05676579,2.7102125
Train,1280,11.912099838256836,0.046531639993190765,0.7399051,2.2544777,2.7467828,0.046531633,2.7002513
Train,1536,10.446630477905273,0.040807150304317474,0.55762106,1.9502556,2.7486978,0.04080715,2.707891
Train,1792,9.30824089050293,0.03636031597852707,0.44354692,1.7344115,2.7558994,0.03636033,2.7195392
Train,2048,7.764498710632324,0.030330073088407516,0.27817005,1.0403907,2.744862,0.03033007,2.714532
Train,2304,6.963355541229248,0.02720060758292675,0.1713676,-0.15590553,2.743639,0.027200606,2.7164383
Train,2560,5.836246013641357,0.022797835990786552,0.17046976,1.0601765,2.7444243,0.022797836,2.7216265
Train,2816,5.319755554199219,0.020780295133590698,0.14253768,0.9686637,2.7374208,0.0207803,2.7166405
Train,3072,4.900178909301758,0.01914132386445999,0.12115621,0.8939109,2.740347,0.01914132,2.7212057
Train,3328,4.879091262817383,0.0190589502453804,0.09638595,-0.3110443,2.7287464,0.019058954,2.7096872
Train,3584,4.347080707550049,0.016980784013867378,0.089316785,0.25457403,2.7310462,0.016980784,2.7140656
Train,3840,4.174643516540527,0.016307201236486435,0.088147245,0.7571027,2.7298355,0.016307209,2.7135282
Train,4096,3.6015026569366455,0.014068369753658772,0.06676714,0.6436912,2.7272005,0.014068375,2.7131324
Train,4352,3.7281863689422607,0.014563228003680706,0.07059544,0.6647477,2.7268453,0.014563227,2.7122817
Train,4608,3.7048325538635254,0.014472002163529396,0.047424436,0.19498487,2.7255828,0.014472003,2.7111108
Train,4864,3.4277119636535645,0.013389499858021736,0.059897095,0.61823237,2.730101,0.013389501,2.7167115
Train,5120,3.623854875564575,0.014155683107674122,0.05296418,0.40760607,2.7221036,0.014155685,2.7079477
Train,5376,3.144656181335449,0.012283813208341599,0.053624414,0.5802049,2.729164,0.012283812,2.7168803
Train,5632,3.145704746246338,0.012287909165024757,0.04879205,0.55297923,2.7164068,0.012287917,2.7041187
Train,5888,3.080338478088379,0.01203257218003273,0.050908946,0.56426096,2.7268205,0.012032568,2.714788
Train,6144,3.009201765060425,0.011754694394767284,0.030068269,0.27543706,2.7326596,0.011754692,2.7209048
Train,6400,3.1467318534851074,0.0122919213026762,0.031541202,0.3315674,2.7186193,0.012291923,2.7063274
Train,6656,3.052006483078003,0.011921900324523449,0.04735555,0.53373146,2.7215035,0.011921897,2.7095814
Train,6912,2.994439125061035,0.011697027832269669,0.0060847723,0.06678422,2.7284105,0.011697026,2.716713
Train,7168,2.9806928634643555,0.011643331497907639,0.046913534,0.5387915,2.7353868,0.011643335,2.7237434
Train,7424,2.8985936641693115,0.011322631500661373,0.04623568,0.53888714,2.727992,0.011322627,2.7166696
Train,7680,2.893629789352417,0.011303241364657879,0.041914478,0.51226133,2.7221918,0.0113032395,2.7108884
Train,7936,2.869866371154785,0.01121041551232338,0.0020274972,-0.00077355094,2.7297978,0.011210416,2.7185874
Train,8192,2.8109829425811768,0.010980402119457722,0.04258138,0.5176819,2.713629,0.010980402,2.7026486
Train,8448,2.8081889152526855,0.010969487950205803,0.040413238,0.504912,2.7279458,0.010969488,2.7169764
Train,8704,2.8079724311828613,0.010968642309308052,0.03917292,0.47395858,2.7247205,0.010968644,2.7137518
Train,8960,2.8626883029937744,0.011182376183569431,0.04274701,0.5187587,2.715448,0.011182373,2.7042656
Train,9216,2.7739369869232178,0.01083569135516882,0.035379287,0.441002,2.7245905,0.010835694,2.7137547
Train,9472,2.7137343883514404,0.010600524954497814,0.03780822,0.48445988,2.7275572,0.010600524,2.7169566
Train,9728,2.7495603561401367,0.010740470141172409,0.010492677,0.11676601,2.7195213,0.010740472,2.7087808
Train,9984,2.7072198390960693,0.01057507749646902,0.038841985,0.48996496,2.7203856,0.010575077,2.7098105
Train,10240,2.6443066596984863,0.010329322889447212,0.036563613,0.4738657,2.7281933,0.010329327,2.7178638
Train,10496,2.7530517578125,0.010754108428955078,0.0404933,0.50882274,2.7227736,0.010754108,2.7120194
Train,10752,2.7360775470733643,0.010687802918255329,0.038034707,0.4890174,2.7263732,0.010687808,2.7156854
Train,11008,2.8510401248931885,0.011136875487864017,0.043775797,0.52022874,2.7281413,0.011136877,2.7170045
Train,11264,2.8193233013153076,0.01101298164576292,0.04299459,0.5178808,2.7155933,0.011012983,2.7045805
Train,11520,2.793975830078125,0.010913968086242676,0.040154178,0.48958737,2.7212653,0.010913966,2.7103515
Train,11776,2.597445011138916,0.01014626957476139,0.034907646,0.4617094,2.7245243,0.01014627,2.7143779
Train,12032,2.6771299839019775,0.0104575389996171,0.037294954,0.48397765,2.7168665,0.010457542,2.706409
Train,12288,2.6874806880950928,0.010497971437871456,0.039372783,0.49756277,2.7179124,0.0104979705,2.7074146
Train,12544,2.609158515930176,0.01019202545285225,0.030453714,0.3809286,2.7196894,0.010192027,2.7094975
Train,12800,2.5954980850219727,0.01013866439461708,0.03554903,0.4695953,2.7204943,0.010138668,2.7103558
Train,13056,2.588921546936035,0.010112974792718887,0.03596641,0.47164366,2.7297873,0.0101129785,2.7196746
Train,13312,2.658953905105591,0.010386538691818714,0.03717875,0.4784096,2.7207403,0.010386536,2.7103539
Train,13568,2.570791721343994,0.010042155161499977,0.034647916,0.46513686,2.7309473,0.010042155,2.7209053
Train,13824,2.624330759048462,0.010251292027533054,0.037257675,0.48570865,2.726286,0.010251286,2.7160347
Train,14080,2.6169090270996094,0.010222300887107849,0.035715647,0.47350144,2.7047656,0.0102223,2.6945434
Train,14092,0.15633732080459595,0.013028110067049662,0.0047070747,0.13347058,2.7150578,0.01302811,2.7020297
Train,14104,0.15291325747966766,0.012742771456638971,0.005233645,0.14319381,2.6524982,0.012742771,2.6397557
Train,14116,0.1499328762292862,0.012494406352440516,0.0044005737,0.12822422,2.7609212,0.012494407,2.748427
Train,14128,0.14868834614753723,0.01239069551229477,0.0039744037,0.118716285,2.7612662,0.0123906955,2.7488754
Train,14140,0.14610707759857178,0.012175589799880981,0.00514291,0.14409538,2.7541943,0.01217559,2.7420187
Train,14152,0.14436542987823486,0.012030452489852905,0.004096131,0.1218904,2.7461727,0.0120304525,2.7341423
Train,14164,0.14169076085090637,0.011807563404242197,0.004162142,0.12381025,2.7763062,0.011807564,2.7644985
Train,14176,0.139873668551445,0.01165613904595375,0.0037441608,0.116845325,2.7741375,0.011656141,2.7624812
Train,14188,0.13851287961006165,0.011542739967505137,0.0046815677,0.13399336,2.6967258,0.011542743,2.6851833
Train,14200,0.13728734850883484,0.011440612375736237,0.0042242333,0.12578692,2.7633657,0.011440612,2.7519252
Train,14212,0.13795551657676697,0.011496293048063913,0.0034522172,0.10804854,2.7075393,0.011496293,2.696043
Train,14224,0.136367067694664,0.011363922307888666,0.0045912294,0.133675,2.700448,0.011363922,2.689084
Train,14236,0.1357097327709198,0.01130914439757665,0.003445127,0.112842046,2.726623,0.011309145,2.7153137
Train,14248,0.13509032130241394,0.011257526775201162,0.0039228164,0.12058152,2.7022629,0.011257527,2.6910052
Train,14260,0.13525481522083282,0.011271234601736069,0.0035425506,0.11433735,2.6982622,0.011271235,2.6869907
Train,14272,0.13401059806346893,0.011167549838622412,0.0038935493,0.11893221,2.6976504,0.01116755,2.686483
Train,14284,0.13418453931808472,0.011182044943173727,0.0036713714,0.115466595,2.6963243,0.011182046,2.6851425
Train,14296,0.13068096339702606,0.010890080283085505,0.0034596964,0.11138974,2.7283752,0.010890081,2.7174852
Train,14308,0.12984061241149902,0.010820051034291586,0.0032110622,0.106499754,2.7399259,0.010820052,2.7291057
Train,14320,0.1302238553762436,0.0108519879480203,0.0033191561,0.10708525,2.7618062,0.010851987,2.7509544
Train,14332,0.1288651078939438,0.010738758991161982,0.003607532,0.11418365,2.734281,0.010738759,2.7235422
Train,14344,0.12647928297519684,0.01053994024793307,0.0030606985,0.102827355,2.7350788,0.0105399415,2.7245388
Train,14356,0.12517355382442474,0.010431129485368729,0.0033312354,0.10731141,2.7017314,0.010431131,2.6913002
Train,14368,0.12103534489870071,0.010086278741558393,0.0028833132,0.098059386,2.731687,0.010086278,2.7216005
Train,14380,0.124179907143116,0.010348325595259666,0.0031329594,0.10378104,2.712995,0.0103483265,2.7026467
Train,14392,0.11941608786582947,0.009951340655485788,0.0026540332,0.09203576,2.683605,0.00995134,2.6736536
Train,14404,0.12259542942047119,0.010216285785039267,0.0032599275,0.10753727,2.7722547,0.010216286,2.7620382
Train,14416,0.11859578639268875,0.00988298219939073,0.002575226,0.09317896,2.6904514,0.009882983,2.6805682
Train,14428,0.11745095252990723,0.00978757937749227,0.0029699102,0.09997515,2.6991782,0.00978758,2.689391
Train,14440,0.11787501722574234,0.009822918102145195,0.0027176894,0.09626206,2.766633,0.009822919,2.75681
Train,14452,0.11042467504739761,0.0092020562539498,0.0027869584,0.09388925,2.738549,0.009202057,2.7293468
Train,14464,0.11491601914167404,0.009576334928472837,0.0024598506,0.090840325,2.684017,0.009576336,2.6744404
Train,14476,0.10967658460140228,0.00913971538345019,0.0027027172,0.09312647,2.6925418,0.009139716,2.683402
Train,14488,0.11432529240846634,0.009527107700705528,0.0025908712,0.0926557,2.7140331,0.009527108,2.704506
Train,14500,0.10766404122114182,0.008972003435095152,0.0021039245,0.07827275,2.7124095,0.008972003,2.7034376
Train,14512,0.10967808216810226,0.009139840180675188,0.0027981196,0.09806348,2.736062,0.00913984,2.7269225
Train,14524,0.10425090789794922,0.008687575658162435,0.0016797598,0.06707293,2.787033,0.008687576,2.7783458
Train,14536,0.1058167815208435,0.00881806512673696,0.0026235932,0.09257447,2.7131295,0.008818066,2.7043114
Train,14548,0.10055069625377655,0.008379224687814713,0.0016386145,0.06418676,2.7383544,0.008379225,2.7299755
Train,14560,0.1057635024189949,0.008813625201582909,0.0023953328,0.08726362,2.7400985,0.008813625,2.7312849
