Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,5120,20.0,0.00390625,0.3925365,0.17561935,2.7929802,0.08401298,2.7089674
Train,10240,20.0,0.00390625,0.3861969,0.1449425,2.7767963,0.06817357,2.7086227
Train,15360,60.0,0.01171875,1.1403494,0.40382797,2.7638001,0.055677414,2.7081227
Train,20480,20.0,0.00390625,0.20752676,0.00065849535,2.7541165,0.04580415,2.7083123
Train,25600,20.0,0.00390625,0.38882658,-0.0525003,2.7443721,0.035894927,2.7084773
Train,30720,20.0,0.00390625,0.3656817,0.07391305,2.7372518,0.028757766,2.708494
Train,35840,30.0,0.005859375,0.57200074,0.028137838,2.731739,0.023078097,2.7086608
Train,40960,10.0,0.001953125,0.12708788,-0.12659366,2.7288086,0.019353641,2.7094548
Train,46080,10.0,0.001953125,0.18267861,-0.1313223,2.7246227,0.016187096,2.7084358
Train,51200,20.0,0.00390625,0.35425577,0.10874216,2.7222898,0.013560675,2.7087288
Train,56320,30.0,0.005859375,0.5559676,0.07039007,2.7199368,0.011117684,2.7088192
Train,61440,20.0,0.00390625,0.38072583,0.064809255,2.717783,0.009291385,2.7084916
Train,66560,20.0,0.00390625,0.35229564,0.015664792,2.717385,0.0080591515,2.709326
Train,71680,40.0,0.0078125,0.5950995,0.13913691,2.7152696,0.0066873482,2.7085822
Train,76800,40.0,0.0078125,0.5633914,0.22977883,2.7144039,0.0057520107,2.7086518
Train,81920,20.0,0.00390625,0.3644368,0.096597046,2.7135472,0.0051109022,2.7084363
Train,87040,10.0,0.001953125,0.20334363,-0.037118945,2.7135491,0.0045801285,2.7089689
Train,92160,20.0,0.00390625,0.22074161,0.00697108,2.7125258,0.0043169726,2.7082088
Train,97280,0.0,0.0,0.016149154,-0.11617508,2.712491,0.0039838254,2.7085073
Train,102400,30.0,0.005859375,0.55465096,0.17900899,2.7136266,0.0036645804,2.709962
Train,107520,10.0,0.001953125,0.17005463,-0.050177295,2.7115893,0.0034783396,2.7081108
Train,112640,20.0,0.00390625,0.32986903,0.05764336,2.7124221,0.0032160901,2.709206
Train,117760,20.0,0.00390625,0.35798773,0.116762646,2.711415,0.0031239982,2.7082908
Train,122880,20.0,0.00390625,0.33286312,0.06517742,2.710821,0.0029495298,2.7078714
Train,128000,10.0,0.001953125,0.19226043,0.051143363,2.7116494,0.0028227603,2.7088265
Train,133120,20.0,0.00390625,0.34089503,0.113155656,2.7113786,0.0027923498,2.708586
Train,138240,10.0,0.001953125,0.17024496,-0.062318332,2.7115095,0.0027075135,2.7088017
Train,143360,40.0,0.0078125,0.7632927,0.09129973,2.7110116,0.0026268691,2.7083848
Train,148480,20.0,0.00390625,0.36563674,-0.027777173,2.7109866,0.0025939716,2.7083924
Train,153600,20.0,0.00390625,0.3499845,-0.047068372,2.71098,0.002561296,2.7084186
Train,158720,30.0,0.005859375,0.5106363,0.19841255,2.71086,0.0025497347,2.7083104
Train,163840,40.0,0.0078125,0.60855323,0.1714209,2.7112765,0.0024553319,2.708821
Train,168960,20.0,0.00390625,0.37700096,0.10205363,2.7113628,0.0023976138,2.7089653
Train,174080,20.0,0.00390625,0.3842183,0.058994554,2.7114558,0.0023818163,2.709074
Train,179200,50.0,0.009765625,0.68778735,0.09223538,2.7115262,0.0023444393,2.7091818
Train,184320,50.0,0.009765625,0.8732052,0.26699063,2.710613,0.002268547,2.7083447
Train,189440,50.0,0.009765625,0.6077282,0.12554269,2.7103841,0.0022584333,2.7081258
Train,194560,0.0,0.0,0.011918429,-0.06370487,2.7102423,0.0022432997,2.707999
Train,199680,40.0,0.0078125,0.5367144,-0.030604849,2.7112637,0.0022291942,2.7090344
Train,204800,20.0,0.00390625,0.3927823,-0.04001003,2.710912,0.0021682177,2.7087438
Train,209920,20.0,0.00390625,0.33997965,0.04828588,2.7111988,0.0021636193,2.709035
Train,215040,20.0,0.00390625,0.34456393,0.064435944,2.7103577,0.0021373695,2.7082202
Train,220160,30.0,0.005859375,0.42156973,0.048805006,2.7103965,0.002151296,2.7082455
Train,225280,20.0,0.00390625,0.3730943,0.07667282,2.709665,0.0020837556,2.7075813
Train,230400,30.0,0.005859375,0.5871226,0.17284308,2.7103393,0.0020530378,2.7082865
Train,235520,10.0,0.001953125,0.1593597,-0.017022,2.710447,0.0019861553,2.708461
Train,240640,40.0,0.0078125,0.73562014,0.25973478,2.7106693,0.0019482647,2.7087212
Train,245760,20.0,0.00390625,0.32765636,0.07461041,2.709591,0.0019285408,2.7076626
Train,250880,30.0,0.005859375,0.55848324,0.16093089,2.7105482,0.001932382,2.7086155
Train,256000,50.0,0.009765625,0.71683675,0.19339168,2.7094967,0.0018832987,2.7076135
Train,261120,20.0,0.00390625,0.34967372,0.09135377,2.7097707,0.001875928,2.7078946
Train,266240,20.0,0.00390625,0.2054861,-0.027969623,2.7100585,0.0018369787,2.7082214
Train,271360,80.0,0.015625,1.2569128,0.5394932,2.7107422,0.0018080957,2.708934
Train,276480,30.0,0.005859375,0.547949,0.05808627,2.7105153,0.0017847548,2.7087305
Train,281600,40.0,0.0078125,0.52469194,0.089465074,2.7092957,0.0017607812,2.707535
Train,286720,30.0,0.005859375,0.38870955,-0.018925223,2.7097306,0.0017350446,2.7079954
Train,291840,70.0,0.013671875,0.89562273,0.201762,2.7103982,0.0017251238,2.7086732
Train,296960,10.0,0.001953125,0.22263531,-0.1323815,2.7106893,0.0017075241,2.7089818
Train,302080,30.0,0.005859375,0.43662116,-0.012604587,2.7099183,0.0016841373,2.708234
Train,307200,30.0,0.005859375,0.4090936,0.02489789,2.7091231,0.0016783345,2.7074447
Train,312320,70.0,0.013671875,0.8981542,0.23669325,2.7097454,0.0016519718,2.7080934
Train,317440,40.0,0.0078125,0.39997604,0.0022093616,2.7101848,0.0016285301,2.7085564
Train,322560,20.0,0.00390625,0.30473015,0.021643896,2.7098665,0.0016175697,2.708249
Train,327680,30.0,0.005859375,0.55967695,0.12581557,2.7096908,0.0015874701,2.7081034
Train,332800,60.0,0.01171875,0.76311743,0.29292375,2.7098255,0.0015526699,2.7082727
Train,337920,40.0,0.0078125,0.6512184,0.2724806,2.7098746,0.0015246747,2.70835
Train,343040,40.0,0.0078125,0.64277184,0.26642412,2.7094276,0.0015145881,2.7079132
Train,348160,10.0,0.001953125,0.20369537,-0.02070539,2.70866,0.0014948441,2.7071648
Train,353280,10.0,0.001953125,0.15814395,-0.17211805,2.7092712,0.0015011419,2.70777
Train,358400,60.0,0.01171875,0.88297635,0.2491732,2.7091591,0.0014669754,2.7076921
Train,363520,40.0,0.0078125,0.55260116,0.14915313,2.709132,0.0014151848,2.707717
Train,368640,50.0,0.009765625,0.75481737,0.07359414,2.709314,0.0014002029,2.707914
Train,373760,50.0,0.009765625,0.89584273,0.45249492,2.708796,0.001395598,2.7074003
Train,378880,40.0,0.0078125,0.34925833,-0.117466494,2.70888,0.001379253,2.707501
Train,384000,60.0,0.01171875,0.78028387,0.21049502,2.709335,0.0013453795,2.7079897
Train,389120,10.0,0.001953125,0.18916248,0.037822895,2.708801,0.0013163248,2.7074845
Train,394240,20.0,0.00390625,0.3713731,0.07206978,2.7089462,0.0012990234,2.707647
Train,399360,20.0,0.00390625,0.25932717,0.020222655,2.7094123,0.0012824939,2.70813
Train,404480,70.0,0.013671875,1.0875427,0.4817565,2.7082987,0.0012775619,2.7070212
Train,409600,50.0,0.009765625,0.55612177,0.18674783,2.7086816,0.0012699906,2.7074115
Train,414720,80.0,0.015625,1.0068094,0.39704853,2.7087705,0.0012438555,2.707527
Train,419840,80.0,0.015625,1.162129,0.45479402,2.7086697,0.0012469965,2.7074225
Train,424960,20.0,0.00390625,0.073503725,-0.20844603,2.7083657,0.0012054099,2.7071602
Train,430080,20.0,0.00390625,0.3286635,0.008445896,2.708818,0.0011669293,2.707651
Train,435200,50.0,0.009765625,0.769882,0.10793319,2.7083185,0.0011500258,2.7071683
Train,440320,20.0,0.00390625,0.24926941,-0.20830366,2.7078595,0.0011393159,2.70672
Train,445440,0.0,0.0,0.06172625,-0.33024725,2.7089667,0.0011271102,2.7078397
Train,450560,60.0,0.01171875,0.7350278,0.089579746,2.7075508,0.0011181027,2.706433
Train,455680,30.0,0.005859375,0.41960087,-0.013737889,2.7080498,0.0011043579,2.7069452
Train,460800,20.0,0.00390625,0.38601586,0.045723684,2.7089412,0.0010845825,2.7078564
Train,465920,40.0,0.0078125,0.6227936,0.205191,2.707915,0.0010691494,2.706846
Train,471040,50.0,0.009765625,0.79194707,0.345688,2.7083344,0.0010482766,2.7072861
Train,476160,60.0,0.01171875,0.8108039,0.36420476,2.7082813,0.0010141749,2.707267
