Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,5120,10,0.001953125,0.19608758,0.07086017,2.7134275,0.003373262,2.7100542
Train,10240,60,0.01171875,1.112194,0.5109358,2.7129471,0.003101223,2.7098458
Train,15360,10,0.001953125,0.19646375,0.075905,2.7117393,0.002899368,2.70884
Train,20480,10,0.001953125,0.17467003,0.040236205,2.7122562,0.002735904,2.7095203
Train,25600,20,0.00390625,0.31559023,0.09517424,2.711554,0.002598175,2.7089558
Train,30720,30,0.005859375,0.5777382,0.24904534,2.7114432,0.002473475,2.7089696
Train,35840,0,0,3.60E-05,-0.03579969,2.712106,0.002344897,2.7097614
Train,40960,0,0,1.88E-05,-0.031616833,2.7121425,0.002234758,2.7099075
Train,46080,40,0.0078125,0.6084338,0.27662706,2.7111175,0.002159792,2.7089577
Train,51200,50,0.009765625,0.69798005,0.2779035,2.7115448,0.002049365,2.7094955
Train,56320,20,0.00390625,0.35900983,0.124981835,2.7111557,0.001972815,2.7091832
Train,61440,20,0.00390625,0.3919985,0.17132196,2.710673,0.001924819,2.7087483
Train,66560,50,0.009765625,0.8038098,0.3695543,2.7111351,0.001881445,2.7092538
Train,71680,10,0.001953125,0.19637476,0.06373371,2.710367,0.00188138,2.7084856
Train,76800,20,0.00390625,0.39253673,0.16324632,2.7107713,0.001855817,2.7089155
Train,81920,10,0.001953125,0.019481277,-0.028763358,2.7102487,0.001852001,2.7083967
Train,87040,0,0,0.000297254,-0.048717372,2.7101724,0.001848089,2.7083244
Train,92160,40,0.0078125,0.78345174,0.3598964,2.7097642,0.001803689,2.7079608
Train,97280,0,0,0.000303675,-0.04773601,2.7095878,0.001730759,2.707857
Train,102400,0,0,0.000296482,-0.047846884,2.7109609,0.00162039,2.7093403
Train,107520,20,0.00390625,0.39079872,0.14867592,2.708699,0.00155987,2.707139
Train,112640,40,0.0078125,0.6037057,0.25410086,2.7094617,0.001520107,2.7079415
Train,117760,10,0.001953125,0.19474314,0.06014618,2.7094364,0.001470952,2.7079656
Train,122880,10,0.001953125,0.19459765,0.05316809,2.7080114,0.00143867,2.7065728
Train,128000,0,0,0.000593496,-0.061440594,2.7088296,0.001404364,2.707425
Train,133120,10,0.001953125,0.19129275,0.00911952,2.7090528,0.001433008,2.7076194
Train,138240,10,0.001953125,0.13420992,-0.023497906,2.708882,0.001431278,2.7074509
Train,143360,0,0,0.000541543,-0.056503467,2.7087226,0.001419063,2.7073035
Train,148480,30,0.005859375,0.5523957,0.20321201,2.7087097,0.001391409,2.7073183
Train,153600,40,0.0078125,0.72867864,0.3017906,2.7085679,0.001334221,2.7072334
Train,158720,10,0.001953125,0.19486122,0.034958504,2.7087383,0.001320712,2.7074177
Train,163840,0,0,0.000740972,-0.058077723,2.708337,0.001305098,2.707032
Train,168960,10,0.001953125,0.19500887,0.050815262,2.7089853,0.001299485,2.707686
Train,174080,10,0.001953125,0.19384749,0.041622415,2.7080019,0.001237239,2.7067647
Train,179200,30,0.005859375,0.58278066,0.23778734,2.7078636,0.001257371,2.7066061
Train,184320,30,0.005859375,0.1880492,-0.016943634,2.7076783,0.001284234,2.706394
Train,189440,20,0.00390625,0.38820612,0.14620928,2.7074063,0.001315567,2.706091
Train,194560,10,0.001953125,0.1953007,0.0064881,2.7077425,0.001260298,2.7064822
Train,199680,0,0,0.001716856,-0.08442297,2.708246,0.001168591,2.7070775
Train,204800,40,0.0078125,0.6000534,0.22774714,2.7073083,0.001091224,2.7062173
Train,209920,20,0.00390625,0.3436153,0.100262366,2.7086122,0.001039732,2.7075725
Train,215040,20,0.00390625,0.27517253,0.04070936,2.707651,0.000999723,2.7066514
Train,220160,30,0.005859375,0.46721458,0.15706834,2.7072227,0.000977149,2.7062457
Train,225280,0,0,0.001452023,-0.07395419,2.7058876,0.000978386,2.704909
Train,230400,20,0.00390625,0.38848454,0.10791843,2.7073867,0.00098117,2.7064054
Train,235520,10,0.001953125,0.19320719,0.04875343,2.7073298,0.00103009,2.7062998
Train,240640,20,0.00390625,0.21541643,-0.017728645,2.7071526,0.001033775,2.7061188
Train,245760,10,0.001953125,0.1941664,0.010884166,2.7064302,0.001046391,2.7053838
Train,250880,0,0,0.001338929,-0.06169564,2.706785,0.000949344,2.7058358
Train,256000,20,0.00390625,0.37211224,0.093985856,2.705526,0.000929152,2.7045968
Train,261120,20,0.00390625,0.21343556,0.022894323,2.7062957,0.000902798,2.705393
Train,266240,20,0.00390625,0.38762861,0.10341733,2.7059143,0.000869505,2.705045
Train,271360,20,0.00390625,0.1990422,0.002244888,2.707288,0.000908594,2.7063794
Train,276480,10,0.001953125,0.19416057,0.030892909,2.7068207,0.000922977,2.705898
Train,281600,10,0.001953125,0.020929275,-0.0693184,2.706215,0.000887151,2.7053277
Train,286720,40,0.0078125,0.60288477,0.19124657,2.7063644,0.000827384,2.7055366
Train,291840,0,0,0.000928888,-0.053929094,2.7053387,0.000742261,2.7045963
Train,296960,10,0.001953125,0.19287324,0.020708188,2.7055542,0.000709993,2.7048442
Train,302080,10,0.001953125,0.16958989,-0.032221474,2.7048652,0.000755673,2.7041097
Train,307200,10,0.001953125,0.19611275,0.002282936,2.7050176,0.000852978,2.7041645
Train,312320,30,0.005859375,0.5773873,0.21275249,2.7061694,0.000917531,2.705252
Train,317440,10,0.001953125,0.19469336,-0.007785419,2.707333,0.000849783,2.7064834
Train,322560,20,0.00390625,0.38711235,0.15245621,2.7074428,0.000699384,2.7067437
Train,327680,40,0.0078125,0.41225263,0.124510325,2.706162,0.000559895,2.705602
Train,332800,10,0.001953125,0.19269714,0.012107752,2.705583,0.000521207,2.7050617
Train,337920,0,0,0.002959067,-0.09509817,2.706,0.000490887,2.7055092
Train,343040,0,0,0.003902678,-0.11379809,2.7070293,0.000468217,2.706561
Train,348160,10,0.001953125,0.19605361,-0.003486589,2.7057467,0.000448846,2.705298
Train,353280,30,0.005859375,0.578983,0.21547031,2.7046134,0.000432505,2.704181
Train,358400,20,0.00390625,0.380617,0.07038248,2.7051501,0.000420752,2.7047293
Train,363520,20,0.00390625,0.24528372,0.04017909,2.7055635,0.000424613,2.705139
Train,368640,50,0.009765625,0.9512087,0.34054434,2.7064095,0.00042593,2.7059834
Train,373760,40,0.0078125,0.7686805,0.2730212,2.7050972,0.00045338,2.704644
Train,378880,30,0.005859375,0.55585307,0.14588413,2.704453,0.00047705,2.7039757
Train,384000,30,0.005859375,0.57922536,0.1809635,2.7051132,0.000478062,2.7046354
Train,389120,10,0.001953125,0.11075194,-0.06223778,2.702626,0.000478907,2.702147
Train,394240,30,0.005859375,0.51719564,0.13759835,2.7058315,0.000463041,2.7053685
Train,399360,0,0,0.004312433,-0.11603162,2.7038846,0.00038464,2.7035
Train,404480,10,0.001953125,0.19330144,-0.01156298,2.7056153,0.000350275,2.7052648
Train,409600,20,0.00390625,0.38388386,0.0847068,2.7044938,0.000309552,2.7041843
Train,414720,40,0.0078125,0.6959511,0.19436769,2.704661,0.000284856,2.704376
Train,419840,10,0.001953125,0.19438967,-0.053061042,2.7035508,0.000273148,2.7032776
Train,424960,20,0.00390625,0.3890589,0.09333637,2.706379,0.000268392,2.7061107
Train,430080,10,0.001953125,0.19712478,-0.00084693,2.7054708,0.00025374,2.7052171
Train,435200,10,0.001953125,0.19275945,0.012091706,2.7031958,0.000237527,2.7029583
Train,440320,10,0.001953125,0.19683824,-0.04865229,2.704315,0.000229804,2.704085
Train,445440,40,0.0078125,0.59447426,0.19654407,2.704818,0.000234962,2.704583
Train,450560,10,0.001953125,0.19574587,-0.011579966,2.7045095,0.000236543,2.7042727
Train,455680,10,0.001953125,0.1924937,0.041009743,2.7036264,0.000232164,2.7033944
Train,460800,10,0.001953125,0.18781163,-0.00748797,2.7048042,0.000243202,2.704561
Train,465920,0,0,0.002330232,-0.08078596,2.7035928,0.000242548,2.7033505
Train,471040,20,0.00390625,0.38995716,0.033964366,2.7034378,0.000225859,2.7032115
Train,476160,20,0.00390625,0.3865838,0.10275812,2.7052152,0.000222918,2.704992
Train,481280,0,0,0.002697589,-0.08348392,2.7023618,0.000201482,2.7021604
Train,486400,20,0.00390625,0.19533993,-0.0496827,2.703834,0.000203883,2.7036302
Train,491520,40,0.0078125,0.72037345,0.2052366,2.7038772,0.000206622,2.7036705
Train,496640,50,0.009765625,0.6093721,0.20908901,2.7038682,0.000193349,2.7036748
Train,501760,10,0.001953125,0.19342282,0.010933453,2.7029817,0.000171321,2.7028103
Train,506880,10,0.001953125,0.19648568,-0.025099192,2.7057946,0.000161688,2.7056332
Train,512000,20,0.00390625,0.38275862,0.08555546,2.7053394,0.000156829,2.7051828
Train,517120,0,0,0.001705854,-0.06425591,2.7043397,0.000183529,2.7041562
Train,522240,40,0.0078125,0.7325024,0.2441214,2.7059453,0.000204827,2.7057405
Train,527360,0,0,0.003244191,-0.09924579,2.7034307,0.000229425,2.7032013
Train,532480,0,0,0.002522485,-0.08659634,2.7069845,0.000222892,2.7067618
Train,537600,10,0.001953125,0.19470651,0.027086396,2.703126,0.000220529,2.7029054
Train,542720,20,0.00390625,0.38063678,0.06448424,2.7042494,0.000187079,2.7040622
Train,547840,20,0.00390625,0.3863914,0.05021833,2.703746,0.000182971,2.703563
Train,552960,30,0.005859375,0.46337223,0.16875985,2.7050405,0.00017106,2.7048695
Train,558080,10,0.001953125,0.19145422,0.047078833,2.7046235,0.000177371,2.704446
Train,563200,0,0,0.002163461,-0.079285964,2.7031147,0.000168998,2.7029457
Train,568320,10,0.001953125,0.023330903,-0.11700227,2.7043915,0.000132526,2.7042587
Train,573440,20,0.00390625,0.38558337,0.11615175,2.7059498,0.000139445,2.7058103
Train,578560,40,0.0078125,0.7695622,0.28403768,2.7035413,0.000157873,2.7033832
Train,583680,40,0.0078125,0.39199734,0.06662108,2.7048433,0.000155411,2.7046876
Train,588800,10,0.001953125,0.19250278,0.033177715,2.7032144,0.00016154,2.703053
Train,593920,50,0.009765625,0.76013637,0.30063397,2.7026505,0.000152509,2.7024982
Train,599040,0,0,0.003350373,-0.10562169,2.7031236,0.000182351,2.7029412
Train,604160,0,0,0.003221736,-0.100533046,2.7055817,0.00023504,2.7053468
Train,609280,20,0.00390625,0.36806676,0.101803705,2.7029712,0.000155076,2.7028165
Train,614400,20,0.00390625,0.38541946,0.07950341,2.7042935,0.000164093,2.7041295
Train,619520,20,0.00390625,0.19178608,0.04938636,2.7034206,0.000189668,2.7032309
Train,624640,10,0.001953125,0.18748061,-0.02569692,2.7039607,0.000182789,2.7037778
Train,629760,30,0.005859375,0.5733017,0.2001405,2.702938,0.000170209,2.702768
Train,634880,20,0.00390625,0.38296884,0.10951276,2.7022805,0.00016894,2.7021117
Train,640000,10,0.001953125,0.023014806,-0.0899782,2.7050972,0.0001954,2.7049017
Train,645120,20,0.00390625,0.21003084,0.011226494,2.7013395,0.00023607,2.7011032
Train,650240,40,0.0078125,0.7704571,0.19734132,2.701842,0.000233865,2.7016084
Train,655360,10,0.001953125,0.19347553,-0.002777696,2.7035222,0.000247819,2.7032745
Train,660480,10,0.001953125,0.19015522,0.04241658,2.70173,0.000311327,2.7014186
Train,665600,10,0.001953125,0.13914494,-0.022430398,2.7022972,0.000311503,2.7019856
Train,670720,0,0,0.009023964,-0.17110401,2.7036266,0.000304521,2.7033222
Train,675840,20,0.00390625,0.3833482,0.11392569,2.7028751,0.000288471,2.7025867
Train,680960,0,0,0.003950951,-0.08633293,2.7031813,0.000327085,2.7028542
Train,686080,20,0.00390625,0.38051787,0.12913048,2.7029667,0.000395087,2.7025716
Train,691200,20,0.00390625,0.3843246,0.0858229,2.7029436,0.00044082,2.702503
Train,696320,10,0.001953125,0.19225447,0.007440917,2.6988995,0.000498364,2.6984012
Train,701440,40,0.0078125,0.7639417,0.29660213,2.7020779,0.000588725,2.7014892
Train,706560,10,0.001953125,0.13157968,-0.11779843,2.6997569,0.00054978,2.699207
Train,711680,10,0.001953125,0.18706223,-0.013053895,2.7006044,0.000541789,2.7000625
Train,716800,20,0.00390625,0.38116285,0.11477756,2.6990333,0.000621464,2.6984117
